Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves
224,Kalidou Koulibaly,2,1,1798,22,104.1,497.4,141,74.5,6,1,5,55,DEF,Chelsea,89,
225,Harvey Vale,0,0,0,0,0,0,0,0,0,0,0,45,MID,Chelsea,89,
226,Denis Zakaria,0,0,409,5,22.6,44.6,24,9.2,2,0,0,49,MID,Chelsea,89,
227,Pierre-Emerick Aubameyang,1,0,546,8,59.4,55,177,28.5,1,0,1,84,FWD,Chelsea,89,
228,Marcus Bettinelli,0,0,0,0,0,0,0,0,0,0,0,40,GK,Chelsea,89,0
229,Omari Hutchinson,0,0,22,0,1.8,1,4,0.7,0,0,0,42,MID,Chelsea,89,
230,Lewis Hall,0,0,653,11,174.3,113.2,119,40.7,1,0,1,43,MID,Chelsea,89,
231,Bashir Humphreys,0,0,0,0,0,0,0,0,0,0,0,45,DEF,Chelsea,89,
232,David Datro Fofana,0,0,68,1,34.6,15.2,30,8,0,0,0,50,FWD,Chelsea,89,
233,Benoît Badiashile,1,0,904,9,49.1,219.8,81,35.1,4,0,2,50,DEF,Chelsea,89,
234,João Félix Sequeira,4,0,936,16,135.2,203.6,287,61.9,2,1,1,71,FWD,Chelsea,89,
235,Mykhailo Mudryk,0,2,650,10,146.4,100.8,140,38.2,0,0,1,64,MID,Chelsea,89,
236,Andrey Nascimento dos Santos,0,0,0,0,0,0,0,0,0,0,0,45,MID,Chelsea,89,
237,Noni Madueke,1,0,639,13,131.9,130.8,182,44.6,0,0,0,54,MID,Chelsea,89,
238,Enzo Fernández,0,2,1547,25,307.3,298.2,64,67.1,3,0,3,50,MID,Chelsea,89,
239,Ethan Wady,0,0,0,0,0,0,0,0,0,0,0,40,GK,Chelsea,89,0
240,Alfie Gilchrist,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Chelsea,89,
