Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves,games,ClubID,ClubPower,Predicted Performace index,Cost Efficiency
257,Jean-Philippe Mateta,2,0,748,10,67.1,115.8,240,41.0,3,0,3,51,FWD,Crystal Palace,84.4,,8,9,84.4,2,0.0392156862745098
258,Eberechi Eze,10,5,2631,35,800.4,692.8,597,208.9,9,0,3,65,MID,Crystal Palace,84.4,,29,9,84.4,29,0.4461538461538462
259,Tyrick Mitchell,0,2,2889,40,234.0,470.4,135,84.3,8,1,5,44,DEF,Crystal Palace,84.4,,32,9,84.4,11,0.25
260,Michael Olise,2,11,2743,38,1014.6,606.6,462,208.8,8,0,2,53,MID,Crystal Palace,84.4,,30,9,84.4,29,0.5471698113207547
264,Sam Johnstone,0,0,810,10,0.0,155.0,0,15.6,3,0,1,44,GK,Crystal Palace,84.4,25.0,9,9,84.4,2,0.045454545454545456
267,Cheick Doucouré,0,3,2770,41,345.8,471.4,157,97.6,7,1,8,50,MID,Crystal Palace,84.4,,30,9,84.4,13,0.26
268,Chris Richards,0,0,443,11,15.3,92.4,26,13.2,1,0,0,44,DEF,Crystal Palace,84.4,,4,9,84.4,1,0.022727272727272728
279,Neal Maupay,1,0,1104,19,109.9,85.8,429,62.2,3,0,4,56,FWD,Everton,84.2,,12,2,84.2,4,0.07142857142857142
282,Seamus Coleman,1,0,1654,25,108.7,297.8,95,50.4,5,0,1,41,DEF,Everton,84.2,,18,2,84.2,6,0.14634146341463414
284,Michael Keane,1,2,983,22,42.6,242.6,131,41.7,2,0,0,42,DEF,Everton,84.2,,10,2,84.2,5,0.11904761904761904
286,Jordan Pickford,0,1,3330,57,23.0,991.2,0,101.3,8,0,6,45,GK,Everton,84.2,123.0,37,2,84.2,14,0.3111111111111111
289,Abdoulaye Doucouré,5,2,1527,27,261.2,315.8,229,80.3,4,1,6,53,MID,Everton,84.2,,16,2,84.2,11,0.20754716981132076
290,Alex Iwobi,2,8,3379,56,917.7,682.4,366,196.7,9,0,2,49,MID,Everton,84.2,,37,2,84.2,28,0.5714285714285714
292,Yerry Mina,2,0,594,9,17.7,176.8,134,33.0,1,0,2,43,DEF,Everton,84.2,,6,2,84.2,4,0.09302325581395349
293,Demarai Gray,4,1,2501,39,605.2,410.4,670,168.5,7,0,3,51,MID,Everton,84.2,,27,2,84.2,24,0.47058823529411764
294,Tom Davies,0,0,524,9,46.2,50.4,98,19.3,1,0,3,49,MID,Everton,84.2,,5,2,84.2,2,0.04081632653061224
